Emp ID,Review_Date,Rating
E001,2025-03-08,3.0
E002,2025-01-17,3.3
E003,2025-02-10,4.4
E004,2024-10-25,2.6
E005,2025-02-19,4.6
E006,2025-06-19,4.5
E007,2024-07-24,3.5
E008,2025-04-10,2.7
E009,2025-04-25,4.8
E010,2024-09-02,3.9
E011,2025-04-10,4.3
E012,2025-06-28,3.0
E013,2025-02-13,3.7
E014,2025-05-07,4.7
E015,2024-10-31,4.1
E016,2025-05-14,2.9
E017,2025-03-25,2.8
E018,2024-11-29,4.4
E019,2024-09-01,3.8
E020,2024-11-10,4.4
E021,2025-01-04,3.6
E022,2024-09-19,4.0
E023,2025-01-12,3.4
E024,2024-07-21,5.0
E025,2025-04-26,2.8
